"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 04 13:52:32 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","741","","org.example.CreateCourierTest","","org.example.CreateCourierTest","notAbleCreateTheSameCourier","Нельзя создать двух одинаковых курьеров","Если создать пользователя с логином, который уже есть, возвращается ошибка"
"passed","Sun Jun 04 13:52:41 MSK 2023","Sun Jun 04 13:52:41 MSK 2023","659","","org.example.LoginCourierTest","","org.example.LoginCourierTest","courierCouldLogin","Курьер может авторизоваться","Запрос возвращает правильный код ответа — 200. Успешный запрос возвращает ""id"", который необходим для удаления курьера"
"passed","Sun Jun 04 13:52:41 MSK 2023","Sun Jun 04 13:52:42 MSK 2023","636","","org.example.LoginCourierTest","","org.example.LoginCourierTest","allFieldsRequired","Для авторизации нужно передать все обязательные поля","Если какого-то поля нет, запрос возвращает ошибку"
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","175","","org.example.CreateOrderTest","","org.example.CreateOrderTest","CreateOrdersTest[1]","Создание заказа","Можно указать один из цветов — BLACK или GREY, указать оба цвета или не указывать их вообще. При создании заказа должен возвращаться его трекинговый номер — track."
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","190","","org.example.CreateOrderTest","","org.example.CreateOrderTest","CreateOrdersTest[2]","Создание заказа","Можно указать один из цветов — BLACK или GREY, указать оба цвета или не указывать их вообще. При создании заказа должен возвращаться его трекинговый номер — track."
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","174","","org.example.CreateCourierTest","","org.example.CreateCourierTest","forCourierCreationAllFieldsRequired","Чтобы создать курьера, нужно передать в ручку все обязательные поля","Если одного из полей нет, запрос возвращает ошибку"
"passed","Sun Jun 04 13:52:26 MSK 2023","Sun Jun 04 13:52:32 MSK 2023","5302","","org.example.CreateCourierTest","","org.example.CreateCourierTest","ableToCreateCourier","Курьера можно создать","Запрос возвращает правильный код ответа — 201. Успешный запрос возвращает ""ok"": ""true"""
"passed","Sun Jun 04 13:52:42 MSK 2023","Sun Jun 04 13:52:43 MSK 2023","674","","org.example.LoginCourierTest","","org.example.LoginCourierTest","notExistingCourierReturnsError","Несуществующий пользователь","Если авторизоваться под несуществующим пользователем, запрос возвращает ошибку"
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:41 MSK 2023","7122","","org.example.GetListOrdersTest","","org.example.GetListOrdersTest","getOrdersTest","Получение списка заказов","В тело ответа должен возвращаться список заказов."
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","160","","org.example.CreateOrderTest","","org.example.CreateOrderTest","CreateOrdersTest[0]","Создание заказа","Можно указать один из цветов — BLACK или GREY, указать оба цвета или не указывать их вообще. При создании заказа должен возвращаться его трекинговый номер — track."
"passed","Sun Jun 04 13:52:33 MSK 2023","Sun Jun 04 13:52:33 MSK 2023","166","","org.example.CreateOrderTest","","org.example.CreateOrderTest","CreateOrdersTest[3]","Создание заказа","Можно указать один из цветов — BLACK или GREY, указать оба цвета или не указывать их вообще. При создании заказа должен возвращаться его трекинговый номер — track."
